遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5, 
39樂合彩,111000099,2022/04/26,23930125,957205,13502125,08,20,21,25,38,,,,,,,
39樂合彩,111000100,2022/04/27,26896425,1075857,11476000,03,14,25,29,30,,,,,,,
39樂合彩,111000101,2022/04/28,25236600,1009464,13419625,10,14,16,24,36,,,,,,,
39樂合彩,111000102,2022/04/29,24781825,991273,5856750,07,14,31,32,38,,,,,,,
39樂合彩,111000103,2022/04/30,27117725,1084709,14812125,04,13,29,32,37,,,,,,,
39樂合彩,111000104,2022/05/02,24032300,961292,17329625,03,09,10,12,34,,,,,,,
39樂合彩,111000105,2022/05/03,23765100,950604,15108500,08,12,14,22,28,,,,,,,
39樂合彩,111000106,2022/05/04,26513825,1060553,22447750,02,03,11,23,27,,,,,,,
39樂合彩,111000107,2022/05/05,26228225,1049129,13447750,09,18,29,31,33,,,,,,,
39樂合彩,111000108,2022/05/06,25051475,1002059,10265500,02,07,11,13,31,,,,,,,
39樂合彩,111000109,2022/05/07,27806950,1112278,14583250,01,04,14,37,38,,,,,,,
39樂合彩,111000110,2022/05/09,26906600,1076264,12363375,11,12,15,21,38,,,,,,,
39樂合彩,111000111,2022/05/10,24033575,961343,15114125,04,10,14,19,20,,,,,,,
39樂合彩,111000112,2022/05/11,27459225,1098369,13328750,04,05,06,10,33,,,,,,,
39樂合彩,111000113,2022/05/12,24219200,968768,12442500,03,09,22,33,37,,,,,,,
39樂合彩,111000114,2022/05/13,24206750,968270,8041000,03,15,16,19,31,,,,,,,
39樂合彩,111000115,2022/05/14,25316000,1012640,9501000,01,12,19,22,31,,,,,,,
39樂合彩,111000116,2022/05/16,27133925,1085357,38387500,17,20,23,25,36,,,,,,,
39樂合彩,111000117,2022/05/17,29006400,1160256,28408500,24,27,31,34,37,,,,,,,
39樂合彩,111000118,2022/05/18,31893275,1275731,16985750,06,09,18,24,37,,,,,,,
39樂合彩,111000119,2022/05/19,30683550,1227342,24244500,05,15,22,35,36,,,,,,,
39樂合彩,111000120,2022/05/20,30496550,1219862,19194250,11,13,24,37,39,,,,,,,
39樂合彩,111000121,2022/05/21,33036100,1321444,13267500,01,15,24,27,36,,,,,,,
39樂合彩,111000122,2022/05/23,32093525,1283741,30343250,09,12,18,25,38,,,,,,,
39樂合彩,111000123,2022/05/24,28005300,1120212,16278750,01,09,11,14,30,,,,,,,
39樂合彩,111000124,2022/05/25,29587625,1183505,13496500,02,11,13,18,37,,,,,,,
39樂合彩,111000125,2022/05/26,28139450,1125578,15787000,09,15,27,28,30,,,,,,,
39樂合彩,111000126,2022/05/27,28410000,1136400,14316750,08,13,28,30,36,,,,,,,
39樂合彩,111000127,2022/05/28,31325200,1253008,23981000,07,23,28,30,35,,,,,,,
39樂合彩,111000128,2022/05/30,31815500,1272620,21295750,01,04,21,25,31,,,,,,,
39樂合彩,111000129,2022/05/31,28869850,1154794,22352000,03,04,12,21,22,,,,,,,
39樂合彩,111000130,2022/06/01,32075425,1283017,16958000,01,08,09,12,28,,,,,,,
39樂合彩,111000131,2022/06/02,32238450,1289538,21291500,05,22,25,27,34,,,,,,,
39樂合彩,111000132,2022/06/03,30618175,1224727,19779500,17,23,30,34,39,,,,,,,
39樂合彩,111000133,2022/06/04,33602200,1344088,39504250,07,10,32,34,37,,,,,,,
39樂合彩,111000134,2022/06/06,28635300,1145412,21983125,04,06,29,36,37,,,,,,,
39樂合彩,111000135,2022/06/07,24550875,982035,16548000,16,17,18,19,21,,,,,,,
39樂合彩,111000136,2022/06/08,25694425,1027777,9333750,06,17,23,29,38,,,,,,,
39樂合彩,111000137,2022/06/09,26263325,1050533,9993375,01,04,12,33,34,,,,,,,
39樂合彩,111000138,2022/06/10,26012375,1040495,11278125,06,15,24,36,37,,,,,,,
39樂合彩,111000139,2022/06/11,28650150,1146006,10323000,04,09,13,32,33,,,,,,,
39樂合彩,111000140,2022/06/13,27946975,1117879,12174500,02,04,07,12,16,,,,,,,
39樂合彩,111000141,2022/06/14,24237075,969483,15191875,01,03,13,26,27,,,,,,,
39樂合彩,111000142,2022/06/15,26356300,1054252,11360000,05,11,27,32,36,,,,,,,
39樂合彩,111000143,2022/06/16,25296800,1011872,10608000,02,06,11,13,19,,,,,,,
39樂合彩,111000144,2022/06/17,24727175,989087,15838250,05,14,21,35,39,,,,,,,
39樂合彩,111000145,2022/06/18,26822325,1072893,22142250,07,17,19,28,29,,,,,,,
39樂合彩,111000146,2022/06/20,26703700,1068148,12742500,01,10,16,35,37,,,,,,,
39樂合彩,111000147,2022/06/21,23600725,944029,8129250,01,16,23,31,39,,,,,,,
39樂合彩,111000148,2022/06/22,25466400,1018656,20568125,11,17,27,33,38,,,,,,,
39樂合彩,111000149,2022/06/23,24486225,979449,16058500,04,12,19,20,33,,,,,,,
39樂合彩,111000150,2022/06/24,22935075,917403,19124125,08,15,25,31,38,,,,,,,
39樂合彩,111000151,2022/06/25,25827675,1033107,8028625,01,08,12,31,38,,,,,,,
